episode,step,action,action_name,head_x,head_y,head_z,food_x,food_y,food_z,reward,done
0,0,0,+X,6,5,5,7,1,1,0.24543735346197137,False
0,1,1,-X,7,5,5,7,1,1,0.07770839704564804,False
0,2,0,+X,8,5,5,7,1,1,-0.09770839704564803,False
0,3,5,-Z,8,5,4,7,1,1,0.6355431329452441,False
0,4,0,+X,9,5,4,7,1,1,-0.29614529354171926,False
0,5,1,-X,9,5,4,7,1,1,-10,True
50,0,2,+Y,5,6,5,9,7,4,0.32993500783655505,False
50,1,0,+X,6,6,5,9,7,4,0.916015896763885,False
50,2,2,+Y,6,7,5,9,7,4,0.14434713018702028,False
50,3,0,+X,7,7,5,9,7,4,0.9162096826685897,False
50,4,5,-Z,7,7,4,9,7,4,0.2260679774997898,False
50,5,5,-Z,7,7,3,9,7,4,-0.24606797749978981,False
50,6,5,-Z,7,7,2,9,7,4,-0.6023591472464005,False
50,7,1,-X,6,7,2,9,7,4,-0.7871241507177988,False
50,8,5,-Z,6,7,1,9,7,4,-0.6470894116552957,False
50,9,3,-Y,6,6,1,9,7,4,-0.12625825642138921,False
50,10,2,+Y,6,5,1,9,7,4,-0.34151681628275576,False
50,11,1,-X,5,5,1,9,7,4,-0.704749047311074,False
50,12,0,+X,4,5,1,9,7,4,-0.7892491958344723,False
50,13,3,-Y,4,4,1,9,7,4,-0.40302452133302435,False
50,14,2,+Y,4,3,1,9,7,4,-0.5236292875634752,False
50,15,5,-Z,4,3,0,9,7,4,-0.4887666234052743,False
50,16,1,-X,3,3,0,9,7,4,-0.7063768159645714,False
50,17,1,-X,2,3,0,9,7,4,-0.7637887487646788,False
50,18,0,+X,1,3,0,9,7,4,-0.8079589711327115,False
50,19,4,+Z,1,3,1,9,7,4,0.35397783907610836,False
50,20,4,+Z,1,3,2,9,7,4,0.2588297421449235,False
50,21,0,+X,2,3,2,9,7,4,0.8485275269936048,False
50,22,0,+X,3,3,2,9,7,4,0.8133090893701922,False
50,23,1,-X,4,3,2,9,7,4,0.7651108410485132,False
50,24,2,+Y,4,4,2,9,7,4,0.5337899295303934,False
50,25,4,+Z,4,4,3,9,7,4,0.23833421986935988,False
50,26,0,+X,5,4,3,9,7,4,0.8070602695068316,False
50,27,5,-Z,5,4,2,9,7,4,-0.29614529354171926,False
50,28,5,-Z,5,4,1,9,7,4,-0.455787087710797,False
50,29,5,-Z,5,4,0,9,7,4,-0.5821723425875478,False
50,30,5,-Z,5,4,0,9,7,4,-10,True
100,0,4,+Z,5,5,6,2,7,8,0.5573101342057691,False
100,1,5,-Z,5,5,7,2,7,8,0.37144823884371925,False
100,2,5,-Z,5,5,8,2,7,8,0.1261061113099522,False
100,3,4,+Z,5,5,9,2,7,8,-0.1461061113099522,False
100,4,3,-Y,5,4,9,2,7,8,-0.6272415567667327,False
100,5,0,+X,6,4,9,2,7,8,-0.7501205700521105,False
100,6,5,-Z,6,4,8,2,7,8,0.0890195135927845,False
100,7,0,+X,7,4,8,2,7,8,-0.8409518948453008,False
100,8,5,-Z,7,4,7,2,7,8,-0.09512788825431538,False
100,9,2,+Y,7,5,7,2,7,8,0.42885420804795493,False
100,10,5,-Z,7,5,6,2,7,8,-0.27733707148636744,False
100,11,3,-Y,7,4,6,2,7,8,-0.4298513564309474,False
100,12,2,+Y,7,3,6,2,7,8,-0.5537899295303934,False
100,13,2,+Y,7,2,6,2,7,8,-0.6502652958501651,False
100,14,1,-X,6,2,6,2,7,8,0.6302652958501651,False
100,15,0,+X,5,2,6,2,7,8,0.5337899295303934,False
100,16,5,-Z,5,2,5,2,7,8,-0.40302452133302435,False
100,17,3,-Y,5,1,5,2,7,8,-0.8010307040475342,False
100,18,2,+Y,5,0,5,2,7,8,-0.8468835435229158,False
100,19,3,-Y,5,0,5,2,7,8,-10,True
150,0,1,-X,4,5,5,8,8,2,-0.6447994721386687,False
150,1,0,+X,3,5,5,8,8,2,-0.7364866294566996,False
150,2,1,-X,2,5,5,8,8,2,-0.8010307040475342,False
